Question,Option A,Option B,Option C,Reponse
Quelle est la capitale de la France?,Paris,Londres,Berlin,Paris
Quel est le plus grand océan du monde?,Océan Atlantique,Océan Indien,Océan Pacifique,Océan Pacifique
Qui a écrit "Roméo et Juliette"?,William Shakespeare,Victor Hugo,Molière,William Shakespeare
Quelle est la plus grande planète du système solaire?,Jupiter,Neptune,Mars,Jupiter
Quelle est la monnaie officielle du Japon?,Yen,Franc Livre,Dirham,Yen
Combien de continents y a-t-il sur la Terre?,7,5,9,7
Quel est le plus haut sommet du monde?,Mont Everest,K2,Kangchenjunga,Mont Everest
Quel est le plus grand désert du monde?,Désert du Sahara,Désert de Gobi,Désert d'Atacama,Désert du Sahara
Qui a peint la Joconde?,Leonard de Vinci,Michel-Ange,Raphael,Leonard de Vinci
Quel est le plus grand mammifère terrestre?,Éléphant,Girafe,Rhinocéros,Éléphant
